2017-04-23 21:52:34,622 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completionEntryDetails', 'request_seq': 7, 'success': True, 'body': [{'name': '_track', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': '_track', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'any', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'favoriteIcon', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'favoriteIcon', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'string', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'handleDrag', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'handleDrag', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'ifPlaying', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'ifPlaying', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'boolean', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'isFavorite', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'isFavorite', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'boolean', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'isSeeking', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'isSeeking', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'boolean', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'nativeMedia', 'kindModifiers': 'public', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'nativeMedia', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'NativeMedia', 'kind': 'aliasName'}], 'documentation': [], 'tags': []}, {'name': 'ngOnInit', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'ngOnInit', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'playSong', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'playSong', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'player', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'player', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'Howl', 'kind': 'localName'}], 'documentation': [], 'tags': []}, {'name': 'playerEnded', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'playerEnded', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'progress', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'progress', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'any', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'seek', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'seek', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': 'val', 'kind': 'parameterName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'any', 'kind': 'keyword'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'setProgress', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'setProgress', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'stopSong', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'stopSong', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'toggleSong', 'kindModifiers': '', 'kind': 'method', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'method', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'toggleSong', 'kind': 'methodName'}, {'text': '(', 'kind': 'punctuation'}, {'text': ')', 'kind': 'punctuation'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'void', 'kind': 'keyword'}], 'documentation': [], 'tags': []}, {'name': 'track', 'kindModifiers': '', 'kind': 'property', 'displayParts': [{'text': '(', 'kind': 'punctuation'}, {'text': 'property', 'kind': 'text'}, {'text': ')', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'IonMusicCardComponent', 'kind': 'className'}, {'text': '.', 'kind': 'punctuation'}, {'text': 'track', 'kind': 'propertyName'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'any', 'kind': 'keyword'}], 'documentation': [], 'tags': []}]}
2017-04-23 21:52:34,622 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:35,871 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:35,871 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 8, 'success': True}
2017-04-23 21:52:35,872 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:35,881 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 8, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:35,881 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:36,026 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completions', 'request_seq': 9, 'success': True, 'body': [{'name': 'ThisType', 'kind': 'interface', 'kindModifiers': 'declare', 'sortText': '0'}, {'name': 'this', 'kind': 'keyword', 'kindModifiers': '', 'sortText': '0'}]}
2017-04-23 21:52:36,027 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:36,039 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completionEntryDetails', 'request_seq': 10, 'success': True, 'body': [{'name': 'ThisType', 'kindModifiers': 'declare', 'kind': 'parameter', 'displayParts': [{'text': 'interface', 'kind': 'keyword'}, {'text': ' ', 'kind': 'space'}, {'text': 'ThisType', 'kind': 'interfaceName'}, {'text': '<', 'kind': 'punctuation'}, {'text': 'T', 'kind': 'typeParameterName'}, {'text': '>', 'kind': 'punctuation'}, {'text': '\n', 'kind': 'lineBreak'}, {'text': 'this', 'kind': 'keyword'}, {'text': ':', 'kind': 'punctuation'}, {'text': ' ', 'kind': 'space'}, {'text': 'this', 'kind': 'keyword'}], 'documentation': [{'text': "Marker for contextual 'this' type", 'kind': 'text'}], 'tags': []}, {'name': 'this', 'kind': 'keyword', 'kindModifiers': '', 'displayParts': [{'text': 'this', 'kind': 'keyword'}]}]}
2017-04-23 21:52:36,040 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:38,185 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:38,185 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 11, 'success': True}
2017-04-23 21:52:38,185 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:38,189 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 11, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:38,189 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:38,232 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completions', 'request_seq': 12, 'success': False, 'message': 'No content available.'}
2017-04-23 21:52:38,232 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:42,314 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:42,315 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 13, 'success': True}
2017-04-23 21:52:42,315 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:42,320 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 13, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:42,320 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:42,359 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'completions', 'request_seq': 14, 'success': False, 'message': 'No content available.'}
2017-04-23 21:52:42,359 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:46,156 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:46,156 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 15, 'success': True}
2017-04-23 21:52:46,156 DEBUG    (deoplete.typescript) ************
2017-04-23 21:52:46,159 DEBUG    (deoplete.typescript) {'seq': 0, 'type': 'response', 'command': 'reload', 'request_seq': 15, 'success': True, 'body': {'reloadFinished': True}}
2017-04-23 21:52:46,160 DEBUG    (deoplete.typescript) ************
